/IN_AMP X,/IN_AMP Y,/OUT_AMP X,/OUT_AMP Y
6.621213823779365e-11,0.0001158652417145779,6.621213823779365e-11,0.0004249654839772796
6.801131215859372e-11,0.0003241785271411789,6.801131215859372e-11,0.0008511025288749703
7.160966000019388e-11,0.0006253123586196846,7.160966000019388e-11,0.001529630376028149
7.292564602531475e-11,0.0007354428772247423,7.292564602531475e-11,0.001687268553611057
7.492436147419738e-11,0.0009027087635848718,7.492436147419738e-11,0.001783081246862998
7.692307692308e-11,0.001069974649945,7.692307692308e-11,0.00168618370206786
7.713162680904621e-11,0.001038478972020399,7.713162680904621e-11,0.001663361610842673
7.762018098634817e-11,0.0009646964094180186,7.762018098634817e-11,0.001603861769680044
7.829877179198887e-11,0.0008622140831485216,7.829877179198887e-11,0.001501450115878617
7.889321036947289e-11,0.0007724406176984932,7.889321036947289e-11,0.001393346292759391
8.008208752444093e-11,0.0005928936867984361,8.008208752444093e-11,0.001129273004443224
8.2459841834377e-11,0.0002337998249983219,8.2459841834377e-11,0.0004462375682265056
8.721535045424916e-11,-0.0004305901319379247,8.721535045424916e-11,-0.001133102780129814
8.80470801936549e-11,-0.0004900956449297274,8.80470801936549e-11,-0.001405903282637037
8.971053967246639e-11,-0.0006091066709133328,8.971053967246639e-11,-0.001885583736979349
9.233176378708561e-11,-0.0007966402869631125,9.233176378708561e-11,-0.002383345285203734
9.42428049704678e-11,-0.0009333643700130559,9.42428049704678e-11,-0.002496517731741893
9.51983255621589e-11,-0.001001726411538027,9.51983255621589e-11,-0.002462674536743191
9.567608585800445e-11,-0.001035907432300513,9.567608585800445e-11,-0.002422295375612929
9.591496600592723e-11,-0.001052997942681757,9.591496600592723e-11,-0.002396244598456483
9.615384615385001e-11,-0.001070088453063,9.615384615385001e-11,-0.002366301504147672
9.636055878835126e-11,-0.00103592903333496,9.636055878835126e-11,-0.002335836192911615
9.656548694314301e-11,-0.001002064500233177,9.656548694314301e-11,-0.002304226938360005
9.688113297781317e-11,-0.0009499037534563548,9.688113297781317e-11,-0.002250074217712644
9.72885367526679e-11,-0.0008825799704779789,9.72885367526679e-11,-0.002170535782643826
9.810334430237735e-11,-0.0007479324045212272,9.810334430237735e-11,-0.001980105444858989
9.973295940179626e-11,-0.0004786372726077236,9.973295940179626e-11,-0.001486463760972732
1.029921896006341e-10,5.995299121928366e-05,1.029921896006341e-10,-0.0001922596949638618
1.062514197994719e-10,0.0005447466825872033,1.062514197994719e-10,0.001230663530040366
1.068290157089244e-10,0.0005757539758402524,1.068290157089244e-10,0.001471564057099872
1.079842075278294e-10,0.0006377685623463508,1.079842075278294e-10,0.001916069260453816
1.096078362343617e-10,0.0007249304182625985,1.096078362343617e-10,0.002429470483904221
1.110037549364027e-10,0.0007998680344112804,1.110037549364027e-10,0.002740781045520721
1.129233659361728e-10,0.0009029192164358727,1.129233659361728e-10,0.002932254907117662
1.147174318482197e-10,0.0009992307154263469,1.147174318482197e-10,0.002844382644313271
1.153846153846e-10,0.001035047374145,1.153846153846e-10,0.002745642243492043
1.155966410562582e-10,0.0009974810978880878,1.155966410562582e-10,0.00270492395344294
1.158945799508895e-10,0.0009446928919323319,1.158945799508895e-10,0.002644202554243081
1.163432837258552e-10,0.0008651924718367185,1.163432837258552e-10,0.002539718389276877
1.168312198653001e-10,0.0007787409413839877,1.168312198653001e-10,0.002408815663765105
1.178070921441899e-10,0.0006058378804785259,1.178070921441899e-10,0.002096541781408353
1.197588367019696e-10,0.0002600317586676024,1.197588367019696e-10,0.001302645353791776
1.236623258175288e-10,-0.0004315804849542445,1.236623258175288e-10,-0.0006248140650612512
1.247155293570832e-10,-0.0006181849409723788,1.247155293570832e-10,-0.001170955619651511
1.251695173039277e-10,-0.000673580915416152,1.251695173039277e-10,-0.001399337776105627
1.260774931976168e-10,-0.0007003302392701678,1.260774931976168e-10,-0.001834593075854277
1.26538155213272e-10,-0.0007139015218666001,1.26538155213272e-10,-0.002042436191028616
1.274594792445822e-10,-0.0007410440870594646,1.274594792445822e-10,-0.002424180560534338
1.286455680098031e-10,-0.0007759867245468933,1.286455680098031e-10,-0.002836838707422387
1.300413602128181e-10,-0.0008171073070765236,1.300413602128181e-10,-0.003187641540156774
1.320385981528533e-10,-0.0008759467155265256,1.320385981528533e-10,-0.003397940364438973
1.345849063454529e-10,-0.0009509619477032762,1.345849063454529e-10,-0.003139283376586002
1.346153846154e-10,-0.0009518598494196,1.346153846154e-10,-0.003132541128530945
1.346763411552941e-10,-0.0009406516540354806,1.346763411552941e-10,-0.003118725960345985
1.34794185128039e-10,-0.0009189834577490836,1.34794185128039e-10,-0.003091402215146733
1.348854672764134e-10,-0.0009021992348283102,1.348854672764134e-10,-0.003069393448296635
1.35038360074133e-10,-0.0008740865441696522,1.35038360074133e-10,-0.003030894871286819
1.353441456695721e-10,-0.0008178611628523361,1.353441456695721e-10,-0.002947845340428685
1.359557168604504e-10,-0.0007054104002177041,1.359557168604504e-10,-0.002758328268082618
1.37178859242207e-10,-0.0004805088749484398,1.37178859242207e-10,-0.002293348418125076
1.396251440057202e-10,-3.070582440991114e-05,1.396251440057202e-10,-0.001099811150185149
1.442307692308e-10,0.0008161392799609001,1.442307692308e-10,0.001425868994405543
1.444962381243598e-10,0.0008160030240937119,1.444962381243598e-10,0.001567995502135773
1.452829678542608e-10,0.0008155992233313969,1.452829678542608e-10,0.001974712606714529
1.465067039369864e-10,0.0008149711225436722,1.465067039369864e-10,0.002539126606013991
1.474695556220694e-10,0.0008144769245622615,1.474695556220694e-10,0.002912522083267446
1.493952589922354e-10,0.0008134885285994398,1.493952589922354e-10,0.003425724312622767
1.532466657325675e-10,0.0008115117366737966,1.532466657325675e-10,0.003400836343123996
1.538461538462e-10,0.0008112040404624001,1.538461538462e-10,0.003267023865111759
1.541159872456807e-10,0.0007621170162204838,1.541159872456807e-10,0.003192189415552379
1.543913532241996e-10,0.0007120235270936051,1.543913532241996e-10,0.003112331897501839
1.549199153585088e-10,0.0006158695952596682,1.549199153585088e-10,0.002939968626225377
1.555283324108089e-10,0.0005051887727487338,1.555283324108089e-10,0.002711914860068261
1.56745166515409e-10,0.000283827127726865,1.56745166515409e-10,0.002171277301997642
